ensembl_gene_id	entrezgene_id	hgnc_symbol
453	ENSG00000114023	26355	FAM162A
454	ENSG00000114026	4968	OGG1
455	ENSG00000114030	3836	KPNA1
456	ENSG00000114054	5096	PCCB
457	ENSG00000114098	25852	ARMC8
458	ENSG00000114107	80321	CEP70
459	ENSG00000114120	55186	SLC25A36
460	ENSG00000114125	9616	RNF7
461	ENSG00000114126	7029	TFDP2
462	ENSG00000114127	54464	XRN1
463	ENSG00000114166	8850	KAT2B
464	ENSG00000114209	11235	PDCD10
465	ENSG00000114268	5210	PFKFB4
466	ENSG00000114270	1294	COL7A1
467	ENSG00000114302	5576	PRKAR2A
468	ENSG00000114315	3280	HES1
469	ENSG00000114316	7375	USP4
470	ENSG00000114316	107986084	USP4
471	ENSG00000114331	23527	ACAP2
472	ENSG00000114346	1894	ECT2
473	ENSG00000114353	2771	GNAI2
474	ENSG00000114354	10342	TFG
475	ENSG00000114378	3373	HYAL1
476	ENSG00000114383	11334	TUSC2
477	ENSG00000114388	10641	NPRL2
478	ENSG00000114391	6152	RPL24
479	ENSG00000114395	11068	CYB561D2
480	ENSG00000114405	57415	C3orf14
481	ENSG00000114416	8087	FXR1
482	ENSG00000114423	868	CBLB
483	ENSG00000114439	56987	BBX
484	ENSG00000114446	55081	IFT57
485	ENSG00000114450	59345	GNB4
486	ENSG00000114473	84223	IQCG
487	ENSG00000114480	2632	GBE1
488	ENSG00000114491	7372	UMPS
489	ENSG00000114503	22916	NCBP2
490	ENSG00000114520	8723	SNX4
491	ENSG00000114529	79669	C3orf52
492	ENSG00000114541	23150	FRMD4B
493	ENSG00000114544	54946	SLC41A3
494	ENSG00000114554	5361	PLXNA1
495	ENSG00000114573	523	ATP6V1A
496	ENSG00000114626	80325	ABTB1
497	ENSG00000114631	50512	PODXL2
498	ENSG00000114648	23276	KLHL18
499	ENSG00000114650	22937	SCAP
500	ENSG00000114656	57501	CFAP92
501	ENSG00000114686	11222	MRPL3
502	ENSG00000114735	51409	HEMK1
503	ENSG00000114737	1154	CISH
504	ENSG00000114738	7867	MAPKAPK3
505	ENSG00000114739	93	ACVR2B
506	ENSG00000114742	57599	WDR48
507	ENSG00000114744	51122	COMMD2
508	ENSG00000114745	64689	GORASP1
509	ENSG00000114757	51555	PEX5L
510	ENSG00000114767	9136	RRP9
511	ENSG00000114770	10057	ABCC5
512	ENSG00000114779	84836	ABHD14B
513	ENSG00000114784	10289	EIF1B
514	ENSG00000114796	54800	KLHL24
515	ENSG00000114812	7433	VIPR1
516	ENSG00000114841	25981	DNAH1
517	ENSG00000114850	6747	SSR3
518	ENSG00000114853	92999	ZBTB47
519	ENSG00000114854	7134	TNNC1
520	ENSG00000114857	4820	NKTR
521	ENSG00000114859	1181	CLCN2
522	ENSG00000114861	27086	FOXP1
523	ENSG00000114867	1981	EIF4G1
524	ENSG00000114902	28972	SPCS1
525	ENSG00000114904	6787	NEK4
526	ENSG00000114933	54891	INO80D
527	ENSG00000114942	1933	EEF1B2
528	ENSG00000114956	1716	DGUOK
529	ENSG00000114978	55233	MOB1A
530	ENSG00000114982	55683	KANSL3
531	ENSG00000114988	81562	LMAN2L
532	ENSG00000114993	6242	RTKN
533	ENSG00000114999	150465	TTL
534	ENSG00000115008	3552	IL1A
535	ENSG00000115020	200576	PIKFYVE
536	ENSG00000115042	51011	FAHD2A
537	ENSG00000115053	4691	NCL
538	ENSG00000115073	10120	ACTR1B
539	ENSG00000115084	80255	SLC35F5
540	ENSG00000115085	7535	ZAP70
541	ENSG00000115091	10096	ACTR3
542	ENSG00000115107	55240	STEAP3
543	ENSG00000115109	57669	EPB41L5
544	ENSG00000115112	29842	TFCP2L1
545	ENSG00000115128	51639	SF3B6
546	ENSG00000115129	9540	TP53I3
547	ENSG00000115137	51277	DNAJC27
548	ENSG00000115138	5443	POMC
549	ENSG00000115145	10254	STAM2
550	ENSG00000115159	2820	GPD2
551	ENSG00000115163	1058	CENPA
552	ENSG00000115165	9595	CYTIP
553	ENSG00000115170	90	ACVR1
554	ENSG00000115183	85461	TANC1
555	ENSG00000115204	4358	MPV17
556	ENSG00000115207	2976	GTF3C2
557	ENSG00000115211	8890	EIF2B4
558	ENSG00000115216	29959	NRBP1
559	ENSG00000115232	3676	ITGA4
560	ENSG00000115233	10213	PSMD14
561	ENSG00000115234	9784	SNX17
562	ENSG00000115239	51130	ASB3
563	ENSG00000115239	100302652	ASB3
564	ENSG00000115241	5496	PPM1G
565	ENSG00000115267	64135	IFIH1
566	ENSG00000115271	25801	GCA
567	ENSG00000115274	83444	INO80B
568	ENSG00000115275	7841	MOGS
569	ENSG00000115282	64427	TTC31
570	ENSG00000115289	84759	PCGF1
571	ENSG00000115295	79745	CLIP4
572	ENSG00000115306	6711	SPTBN1
573	ENSG00000115307	550	AUP1
574	ENSG00000115310	57142	RTN4
575	ENSG00000115317	27429	HTRA2
576	ENSG00000115318	84695	LOXL3
577	ENSG00000115325	1796	DOK1
578	ENSG00000115339	2591	GALNT3
579	ENSG00000115350	56655	POLE4
580	ENSG00000115355	55704	CCDC88A
581	ENSG00000115364	9801	MRPL19
582	ENSG00000115365	10314	LANCL1
583	ENSG00000115368	84128	WDR75
584	ENSG00000115380	2202	EFEMP1
585	ENSG00000115386	5967	REG1A
586	ENSG00000115392	55120	FANCL
587	ENSG00000115414	2335	FN1
588	ENSG00000115415	6772	STAT1
589	ENSG00000115419	2744	GLS
590	ENSG00000115421	64895	PAPOLG
591	ENSG00000115423	1768	DNAH6
592	ENSG00000115425	55825	PECR
593	ENSG00000115446	25972	UNC50
594	ENSG00000115457	3485	IGFBP2
595	ENSG00000115459	84173	ELMOD3
596	ENSG00000115461	3488	IGFBP5
597	ENSG00000115464	9736	USP34
598	ENSG00000115484	10575	CCT4
599	ENSG00000115486	2677	GGCX
600	ENSG00000115504	23301	EHBP1
601	ENSG00000115507	5013	OTX1
602	ENSG00000115514	10190	TXNDC9
603	ENSG00000115520	80219	COQ10B
604	ENSG00000115523	10578	GNLY
605	ENSG00000115524	23451	SF3B1
606	ENSG00000115525	8869	ST3GAL5
607	ENSG00000115526	9486	CHST10
608	ENSG00000115539	79031	PDCL3
609	ENSG00000115541	3336	HSPE1
610	ENSG00000115548	55818	KDM3A
611	ENSG00000115556	84812	PLCD4
612	ENSG00000115561	51652	CHMP3
613	ENSG00000115568	7701	ZNF142
614	ENSG00000115590	7850	IL1R2
615	ENSG00000115594	3554	IL1R1
616	ENSG00000115602	9173	IL1RL1
617	ENSG00000115604	8809	IL18R1
618	ENSG00000115607	8807	IL18RAP
619	ENSG00000115641	2274	FHL2
620	ENSG00000115649	27013	CNPPD1
621	ENSG00000115652	80146	UXS1
622	ENSG00000115657	10058	ABCB6
623	ENSG00000115661	8576	STK16
624	ENSG00000115677	3069	HDLBP
625	ENSG00000115685	5510	PPP1R7
626	ENSG00000115687	23178	PASK
627	ENSG00000115694	10494	STK25
628	ENSG00000115705	7173	TPO
629	ENSG00000115738	3398	ID2
630	ENSG00000115750	9014	TAF1B
631	ENSG00000115756	3241	HPCAL1
632	ENSG00000115758	4953	ODC1
633	ENSG00000115760	57448	BIRC6
634	ENSG00000115761	79954	NOL10
635	ENSG00000115762	55041	PLEKHB2
636	ENSG00000115806	26003	GORASP2
637	ENSG00000115808	6801	STRN
638	ENSG00000115816	10153	CEBPZ
639	ENSG00000115825	23683	PRKD3
640	ENSG00000115827	80067	DCAF17
641	ENSG00000115828	25797	QPCT
642	ENSG00000115839	22930	RAB3GAP1
643	ENSG00000115840	8604	SLC25A12
644	ENSG00000115841	151393	RMDN2
645	ENSG00000115866	1615	DARS1
646	ENSG00000115875	6432	SRSF7
647	ENSG00000115884	6382	SDC1
648	ENSG00000115896	5334	PLCL1
649	ENSG00000115902	6509	SLC1A4
650	ENSG00000115904	6654	SOS1
651	ENSG00000115919	8942	KYNU
652	ENSG00000115935	7456	WIPF1
653	ENSG00000115942	4999	ORC2
654	ENSG00000115944	9167	COX7A2L
